"Name","Marché","ID CRM","Niche","Statut","Score","Ville / Localisation","Site web","Décideur","Titre décideur","Email décideur","LinkedIn décideur","Email société","Téléphone","Signaux / Signal","Notes"
"ComputerLand","France","l196","Helpdesk IT — ESN/MSP","nouveau","58","Boulogne-Billancourt (92) — 64 rue du Château","","","","","","contact@computerland.fr","01 46 99 42 99","","MB | Boulogne-Billancourt (92) — 64 rue du Château | MSP infogérance PME depuis 1986 (30+ ans), ~50-100 pers | Angle : soupape helpdesk N1 sous leur marque (overflow + créneau 7h-9h UTC+3 sans prime) | Décideur : DG à identifier — registres ambigus (Computerland France SIREN 331088856 inactive depuis 2021, entité opérante distincte), passer par standard/LinkedIn | Source : ESN-TARGETS.md P2 [Session 2026-07-13 #2]"
"IT Partner","France","l197","Helpdesk IT — ESN/MSP","nouveau","56","Lyon 9e (22 rue Berjon)","","Abdénour Ainséba","Président","","","","","Expansion Paris + PACA (Distributique) ; infogérance + cyber = N1 récurrent à absorber","MB | Lyon 9e (22 rue Berjon) | Infogérance + cybersécurité depuis 1995, ~57 pers, 3000+ postes gérés | Angle : débordement N1 marque blanche sur parc géré | Décideur : Abdénour Ainséba (Président) — structure <100 → dirigeant décide seul | Tél/email non publiés → LinkedIn-first | Source : ESN-TARGETS.md P2 + annuaire-entreprises [Session 2026-07-13 #2]"
"Alteo","France","l198","Helpdesk IT — ESN/MSP","nouveau","30","Cergy-Pontoise (siège) + Paris/Lille/Lyon/Dijon","","","","","","info@alteo.fr","09 72 377 333","","MB | Cergy-Pontoise (siège) + Paris/Lille/Lyon/Dijon | ⚠️ REQUALIFIÉE (2026-07-13) : alteo.fr = agence WEB (création sites, webmarketing, hébergement infogéré) — pas de helpdesk utilisateur final | Reste un angle mineur : support N1 de leurs 350 infrastructures hébergées | Décideur : DG à identifier | Priorité basse — ne pas engager avant épuisement des vraies cibles MSP [Session 2026-07-13 #2]"
"Nowteam","France","l199","Helpdesk IT — ESN/MSP","nouveau","55","Saint-Didier-au-Mont-d'Or (69370) — 4 rue Claude Chappe","","","","","","","04 28 29 50 90","","MB | Saint-Didier-au-Mont-d'Or (69370) — 4 rue Claude Chappe | MSP infogérance PME multi-sites, 20+ ans | ⚠️ MÊME GROUPE NowBrains que NowServiceDesk (l190, score 80) → COORDONNER : une seule approche groupe, l190 reste la porte d'entrée prioritaire (ils vendent déjà du service desk en marque blanche) | Décideur : DG agence à identifier | Source : ESN-TARGETS.md P2 [Session 2026-07-13 #2]"
"OCI","France","l200","Helpdesk IT — ESN/MSP","nouveau","45","Saint-Priest (155 rte de Grenoble) + Lyon 8e","","","","","","","09 69 39 40 60","","MB | Saint-Priest (155 rte de Grenoble) + Lyon 8e | Groupe IT + digital, 40 ans, agences multi-régions | Angle : helpdesk N1 marque blanche en débordement | Décideur : Dir. agence Lyon / DG groupe à identifier | Source : ESN-TARGETS.md P3 — à qualifier [Session 2026-07-13 #2]"
"Itak-IT","France","l201","Helpdesk IT — ESN/MSP","nouveau","45","Ivry-sur-Seine (94) — 51 rue Hoche","","Alex Kong","Dirigeant cofondateur","","","contact@itak-it.com","01 84 23 30 10","Offre forfaitaire 29,90 €/poste = modèle scalable qui sature vite en interne — N1 MB en débordement","MB | Ivry-sur-Seine (94) — 51 rue Hoche | Services managés + téléphonie 3CX + cloud pour PME, forfait 29,90 €/poste/mois | Micro-structure fondée par 2 assoc. (études à San Francisco) → décision rapide, volume limité (profil Oxxodata) | Décideur : Alex Kong (dirigeant cofondateur) | Source : pappers + itak-it.fr [Session 2026-07-13 #2]"
"BlueBearsIT","France","l202","Helpdesk IT — ESN/MSP","nouveau","42","Limonest (69760) — 13 rue des Aulnes, Parc de Crécy","","Eric Charpentier","Président-Fondateur","","","","","Croissance multi-sites AURA (Lyon/Grenoble/Annecy) — capacité N1 à suivre","MB | Limonest (69760) — 13 rue des Aulnes, Parc de Crécy | Infogérance + cloud + O365, créée 2018, ~20-50 pers, sites Lyon/Grenoble/Annecy | Décideur : Eric Charpentier (Président-Fondateur) — petite structure → contact direct fondateur | Tél non publié (site bloque le scraping) → LinkedIn-first | Source : pappers + rocketreach [Session 2026-07-13 #2]"
"Next2i","France","l203","Helpdesk IT — ESN/MSP","nouveau","42","Siège Paris 5e (68 bd de Port-Royal) + agence Lyon — 50 pers, 8 sites, 20+ ans","","Rachid Sourhou","Président","","","","01 48 49 98 00","Offre 24/7 avec 50 pers seulement = tension structurelle sur les créneaux hors bureau","MB | Siège Paris 5e (68 bd de Port-Royal) + agence Lyon — 50 pers, 8 sites, 20+ ans | Infogérance + cyber + cloud, support 24/7 affiché (hotline 01 48 49 70 71) = angle créneau matinal UTC+3 | Décideur : Rachid Sourhou (Président) | Source : pappers + next2i.fr [Session 2026-07-13 #2]"
"Edeal IT","France","l204","Helpdesk IT — ESN/MSP","nouveau","38","Montluel (01120) — 470 rue des Valets (clientèle Lyon)","","Laurent Cognet","Président","","","","","Micro-MSP 3-5 pers : tout débordement N1 est invendable en interne — MB = seule option de croissance","MB | Montluel (01120) — 470 rue des Valets (clientèle Lyon) | Infogérance + gestion de parc depuis 2011 | ⚠️ Effectif réel 3-5 pers (pappers) — micro-structure : décision immédiate mais volume très limité | Décideur : Laurent Cognet (Président) + DG Alexandre/Jérôme | Source : pappers [Session 2026-07-13 #2]"
"VDI Telecom","France","l205","Helpdesk IT — ESN/MSP","nouveau","45","Lyon 7e — 56 rue Saint-Jean-de-Dieu","","Thierry Brejon","Président","","","vdi@vditelecom.fr","04 72 71 66 99","6 domaines d'expertise dont services managés — équipe support mutualisée = débordement probable","MB | Lyon 7e — 56 rue Saint-Jean-de-Dieu | Téléphonie IP + réseaux + cyber + services managés, CA 6 M€, capital 554 k€ | Angle : N1 marque blanche sur parc infogéré + astreintes | Décideur : Thierry Brejon (Président) | Source : pappers + vditelecom.fr [Session 2026-07-13 #2]"
