"Compte";"Segment";"Ville";"Site web";"Score";"Signal";"Décideur";"Décideur (extrait des notes)";"Titre";"Email décideur";"LinkedIn décideur";"LinkedIn société";"Email société";"Téléphone standard";"ID CRM";"Sources";"Notes"
"NEOMSYS";"ESN/MSP - helpdesk IT N1";"";"";"";"Offre Technicien Support Informatique N2/N2+ en FREELANCE - 30-31/08/2026";"";"";"";"";"";"";"";"";"";"Alerte emploi Glassdoor 2026-08-30 et 2026-08-31";"Signal frais. Freelance = position facturable non staffee. A qualifier : poste a distance ou on-site."
"sevenopportunity";"ESN/MSP - helpdesk IT N1";"";"";"";"Offres recurrentes Support N1/N2, helpdesk, proximite VIP N2 - 29/05, 09/06, 08/08, 19-22/08/2026";"";"";"";"";"";"";"";"";"";"Alertes emploi Glassdoor mai a aout 2026";"Tension structurelle sur 3 mois, pas un pic. Attention : une des offres est proximite VIP (on-site, non delocalisable) - cibler les offres helpdesk/N1 a distance."
"Groupe Interway";"ESN/MSP - helpdesk IT N1";"";"";"";"Offre Pilote service Service Desk et Support de Proximite H/F - 28/07/2026";"";"";"";"";"";"";"";"";"";"Alerte emploi Glassdoor 2026-07-28";"Recrute un pilote de service desk = structure de delivery constituee. Bon profil ESN moyenne."
"Mallyance";"ESN/MSP - helpdesk IT N1";"";"";"";"Offres Technicien Helpdesk N2/N3 et Support N2/N3 - 17/06 et 11/07/2026";"";"";"";"";"";"";"";"";"";"Alertes emploi Glassdoor 2026-06-17 et 2026-07-11";"Deux publications en un mois."
"GAGNITECH";"ESN/MSP - helpdesk IT N1";"";"";"";"Offre Technicien helpdesk support GLPI / ITSM - 27/06/2026";"";"";"";"";"";"";"";"";"";"Alerte emploi Glassdoor 2026-06-27";"Outillage ITSM nomme (GLPI) = process en place, integration Salverys facilitee."
"Artemys";"ESN/MSP - helpdesk IT N1";"";"";"";"Offre Technicien support N1/N2 en FREELANCE - 08/07/2026";"";"";"";"";"";"";"";"";"";"Alerte emploi Glassdoor 2026-07-08";"Freelance = position facturable non staffee."
"Hoxton Partners";"ESN/MSP - helpdesk IT N1";"";"";"";"Offre Technicien support N1/N2 en FREELANCE - 11/07/2026, relancee 17/07";"";"";"";"";"";"";"";"";"";"Alertes emploi Glassdoor 2026-07-11 et 2026-07-17";"Freelance, offre relancee."
"emagine";"ESN/MSP - helpdesk IT N1";"";"";"";"Offre Technicien Support IT en FREELANCE - 21/07/2026";"";"";"";"";"";"";"";"";"";"Alerte emploi Glassdoor 2026-07-21";"Freelance. Societe de placement IT internationale - verifier si donneur d'ordre ou intermediaire."
"Teolia";"ESN/MSP - support applicatif";"";"";"";"Offre Analyste Support Applicatif / MCO en FREELANCE - 02/07/2026";"";"";"";"";"";"";"";"";"";"Alerte emploi Glassdoor 2026-07-02";"Freelance + applicatif : recoupe la niche n2 (support applicatif N1)."
"explorer";"ESN/MSP - support applicatif";"";"";"";"Offre Consultant SIRH HR Access - Support Applicatif en FREELANCE - 24/06/2026";"";"";"";"";"";"";"";"";"";"Alerte emploi Glassdoor 2026-06-24";"Freelance, applicatif specialise SIRH. Niveau d'expertise a verifier (N1 ou plus)."
"SystUp";"ESN/MSP - helpdesk IT N1";"";"";"";"Offre Technicien support informatique - 06/06 et 29/06/2026";"";"";"";"";"";"";"";"";"";"Alertes emploi Glassdoor 2026-06-06 et 2026-06-29";"Deux publications en trois semaines."
"Groupe DFM";"ESN/MSP - helpdesk IT N1";"";"";"";"Offre Technicien hotline niveau 3 - 23/05/2026";"";"";"";"";"";"";"";"";"";"Alerte emploi Glassdoor 2026-05-23";"Hotline = a distance par nature. Signal ancien : qualification de compte, pas accroche."
"HDB Solutions";"ESN/MSP - helpdesk IT N1";"";"";"";"Offre Technicien Support IT / Helpdesk - 07/03/2026";"";"";"";"";"";"";"";"";"";"Alerte emploi LinkedIn 2026-03-07";"Signal perime : qualification de compte uniquement."
"KATETEL";"ESN/MSP - helpdesk IT N1";"";"";"";"Offre Technicien Support Informatique et Telecom N2 H/F - 14/04/2026";"";"";"";"";"";"";"";"";"";"Alerte emploi LinkedIn 2026-04-14";"Signal perime : qualification de compte uniquement. Perimetre IT + telecom."
"Excis Compliance";"ESN/MSP - helpdesk IT N1";"";"";"";"Offre Ingenieur Support Poste de Travail et Reseau L2, recrutement en interne - 28/08/2026";"";"";"";"";"";"";"";"";"";"Alerte emploi LinkedIn 2026-08-28";"Signal frais. Mention explicite recrutement en interne. A verifier : L2 poste de travail est souvent on-site."
"SOFTWAY MEDICAL";"Editeur SaaS - support applicatif N1";"";"";"";"Offre Technicien Support Client F/H - 23/06/2026";"";"";"";"";"";"";"";"";"";"Alerte emploi Glassdoor 2026-06-23";"MEILLEURE CIBLE DU LOT : editeur logiciel sante, croise la niche n2 (support applicatif SaaS) et la niche n3 (medical)."
"Fichorga";"Editeur SaaS - support applicatif N1";"";"";"";"Offre Technicien helpdesk H/F - 11/06/2026";"";"";"";"";"";"";"";"";"";"Alerte emploi Glassdoor 2026-06-11";"Editeur de logiciels laboratoire / biomedical."
"NSI";"Editeur SaaS - support applicatif N1";"";"";"";"Offre Consultant Support Applicatif / Fonctionnel, connaissance assurance - 04/07/2026";"";"";"";"";"";"";"";"";"";"Alerte emploi Glassdoor 2026-07-04";"Support applicatif metier assurance. Verifier le niveau attendu (N1 ou consultant senior)."
"ADEC SAS";"Editeur SaaS - support applicatif N1";"";"";"";"Offre Technicien / Technicienne Support Logiciel - 26/07/2026";"";"";"";"";"";"";"";"";"";"Alerte emploi Glassdoor 2026-07-26";"Support produit editeur."
"Infinite Hotel";"Editeur SaaS - support applicatif N1";"";"";"";"Offre Support applicatif Niveau 1 H/F - 02/06/2026";"";"";"";"";"";"";"";"";"";"Alerte emploi Glassdoor 2026-06-02";"Intitule exactement identique a l'offre Salverys niche n2."
"Convergence Networks";"MSP Canada / Amerique du Nord";"";"";"";"Offre Service Desk Administrator 1 - 30/05/2026";"";"";"";"";"";"";"";"";"";"Alerte emploi Glassdoor 2026-05-30";"Piste Canada, une seule occurrence. A qualifier avant investissement - cf. PROMPT-RECHERCHE-PROSPECTS-IT-Canada.md."
